2026-09-05T01:27:57Z m=[114000001,116000001) HUNT_DONE examined=5573 best=2 best_m=114559571 seconds=43.43 per_m_ms=7.794 | HUNT_HIST 0:5475 1:97 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:29:17Z m=[116000001,118000001) HUNT_DONE examined=5556 best=2 best_m=117544996 seconds=43.14 per_m_ms=7.765 | HUNT_HIST 0:5466 1:88 2:2 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:30:37Z m=[118000001,120000001) HUNT_DONE examined=5537 best=1 best_m=118040831 seconds=42.62 per_m_ms=7.697 | HUNT_HIST 0:5460 1:77 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:31:58Z m=[120000001,122000001) HUNT_DONE examined=5678 best=2 best_m=120099453 seconds=44.03 per_m_ms=7.754 | HUNT_HIST 0:5589 1:88 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:33:19Z m=[122000001,124000001) HUNT_DONE examined=5646 best=2 best_m=122127476 seconds=43.65 per_m_ms=7.731 | HUNT_HIST 0:5563 1:82 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:34:39Z m=[124000001,126000001) HUNT_DONE examined=5594 best=1 best_m=124025930 seconds=43.39 per_m_ms=7.757 | HUNT_HIST 0:5505 1:89 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:36:00Z m=[126000001,128000001) HUNT_DONE examined=5609 best=2 best_m=126415782 seconds=43.82 per_m_ms=7.812 | HUNT_HIST 0:5511 1:95 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:37:22Z m=[128000001,130000001) HUNT_DONE examined=5743 best=2 best_m=128089633 seconds=44.60 per_m_ms=7.765 | HUNT_HIST 0:5652 1:88 2:3 3:0 4:0 5:0 6:0 | 82s
2026-09-05T01:38:44Z m=[130000001,132000001) HUNT_DONE examined=5745 best=2 best_m=130977133 seconds=44.30 per_m_ms=7.710 | HUNT_HIST 0:5667 1:76 2:2 3:0 4:0 5:0 6:0 | 82s
2026-09-05T01:40:04Z m=[132000001,134000001) HUNT_DONE examined=5547 best=1 best_m=132033885 seconds=42.83 per_m_ms=7.721 | HUNT_HIST 0:5466 1:81 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:41:24Z m=[134000001,136000001) HUNT_DONE examined=5576 best=2 best_m=134880555 seconds=43.08 per_m_ms=7.727 | HUNT_HIST 0:5497 1:77 2:2 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:42:45Z m=[136000001,138000001) HUNT_DONE examined=5670 best=1 best_m=136002668 seconds=44.09 per_m_ms=7.776 | HUNT_HIST 0:5574 1:96 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:44:07Z m=[138000001,140000001) HUNT_DONE examined=5720 best=2 best_m=138232176 seconds=44.79 per_m_ms=7.831 | HUNT_HIST 0:5618 1:99 2:3 3:0 4:0 5:0 6:0 | 82s
2026-09-05T01:45:28Z m=[140000001,142000001) HUNT_DONE examined=5605 best=2 best_m=141208398 seconds=44.00 per_m_ms=7.849 | HUNT_HIST 0:5498 1:106 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:46:49Z m=[142000001,144000001) HUNT_DONE examined=5647 best=1 best_m=142003232 seconds=43.93 per_m_ms=7.780 | HUNT_HIST 0:5553 1:94 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:48:10Z m=[144000001,146000001) HUNT_DONE examined=5629 best=2 best_m=144013816 seconds=43.55 per_m_ms=7.737 | HUNT_HIST 0:5543 1:85 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:49:31Z m=[146000001,148000001) HUNT_DONE examined=5659 best=1 best_m=146023954 seconds=43.67 per_m_ms=7.716 | HUNT_HIST 0:5579 1:80 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:50:51Z m=[148000001,150000001) HUNT_DONE examined=5548 best=1 best_m=148074462 seconds=42.76 per_m_ms=7.708 | HUNT_HIST 0:5469 1:79 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:52:12Z m=[150000001,152000001) HUNT_DONE examined=5655 best=2 best_m=151487524 seconds=43.77 per_m_ms=7.740 | HUNT_HIST 0:5569 1:85 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:53:33Z m=[152000001,154000001) HUNT_DONE examined=5689 best=1 best_m=152037037 seconds=43.99 per_m_ms=7.733 | HUNT_HIST 0:5603 1:86 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:54:53Z m=[154000001,156000001) HUNT_DONE examined=5516 best=2 best_m=154580691 seconds=42.90 per_m_ms=7.777 | HUNT_HIST 0:5429 1:86 2:1 3:0 4:0 5:0 6:0 | 80s
2026-09-05T01:56:14Z m=[156000001,158000001) HUNT_DONE examined=5618 best=1 best_m=156002734 seconds=43.80 per_m_ms=7.796 | HUNT_HIST 0:5527 1:91 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:57:35Z m=[158000001,160000001) HUNT_DONE examined=5587 best=2 best_m=159351716 seconds=43.46 per_m_ms=7.780 | HUNT_HIST 0:5502 1:84 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T01:58:55Z m=[160000001,162000001) HUNT_DONE examined=5521 best=1 best_m=160018227 seconds=43.08 per_m_ms=7.803 | HUNT_HIST 0:5424 1:97 2:0 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:00:16Z m=[162000001,164000001) HUNT_DONE examined=5636 best=1 best_m=162010182 seconds=43.77 per_m_ms=7.767 | HUNT_HIST 0:5545 1:91 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:01:37Z m=[164000001,166000001) HUNT_DONE examined=5655 best=2 best_m=164641942 seconds=43.60 per_m_ms=7.709 | HUNT_HIST 0:5577 1:77 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:02:57Z m=[166000001,168000001) HUNT_DONE examined=5598 best=2 best_m=166728861 seconds=43.55 per_m_ms=7.779 | HUNT_HIST 0:5506 1:90 2:2 3:0 4:0 5:0 6:0 | 80s
2026-09-05T02:04:18Z m=[168000001,170000001) HUNT_DONE examined=5560 best=2 best_m=168058175 seconds=42.98 per_m_ms=7.730 | HUNT_HIST 0:5478 1:79 2:3 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:05:39Z m=[170000001,172000001) HUNT_DONE examined=5588 best=3 best_m=170167553 seconds=44.28 per_m_ms=7.925 | HUNT_HIST 0:5507 1:79 2:1 3:1 4:0 5:0 6:0 | 81s
2026-09-05T02:07:00Z m=[172000001,174000001) HUNT_DONE examined=5645 best=2 best_m=172784676 seconds=44.00 per_m_ms=7.794 | HUNT_HIST 0:5552 1:92 2:1 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:08:23Z m=[174000001,176000001) HUNT_DONE examined=5788 best=2 best_m=175218474 seconds=45.09 per_m_ms=7.790 | HUNT_HIST 0:5696 1:91 2:1 3:0 4:0 5:0 6:0 | 83s
2026-09-05T02:09:42Z m=[176000001,178000001) HUNT_DONE examined=5565 best=2 best_m=177934341 seconds=42.66 per_m_ms=7.665 | HUNT_HIST 0:5495 1:69 2:1 3:0 4:0 5:0 6:0 | 79s
2026-09-05T02:11:03Z m=[178000001,180000001) HUNT_DONE examined=5538 best=1 best_m=178002267 seconds=43.15 per_m_ms=7.791 | HUNT_HIST 0:5446 1:92 2:0 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:12:24Z m=[180000001,182000001) HUNT_DONE examined=5711 best=2 best_m=181439568 seconds=44.24 per_m_ms=7.747 | HUNT_HIST 0:5623 1:86 2:2 3:0 4:0 5:0 6:0 | 81s
2026-09-05T02:13:46Z m=[182000001,184000001) HUNT_DONE examined=5791 best=2 best_m=182641927 seconds=45.21 per_m_ms=7.806 | HUNT_HIST 0:5692 1:98 2:1 3:0 4:0 5:0 6:0 | 82s
